,0.0,0.05,0.1,0.2,0.5,1.0
nodes,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
edges,8989.0,8989.0,8989.0,8989.0,8989.0,8989.0
components,1.0,7.0,5.0,13.0,10.0,7.0
degree_centrality,0.0016672224074691564,0.0016672224074691564,0.0016672224074691564,0.0020006668889629873,0.0020006668889629873,0.0020006668889629873
avg_degree,5.992666666666667,5.992666666666667,5.992666666666667,5.992666666666667,5.992666666666667,5.992666666666667
transitivity,0.3259526947970201,0.2862997126871314,0.25024688310085175,0.17456034537489684,0.05338694170090027,0.0021025064089559395
clustering,0.4722222222222222,0.38095238095238093,0.3055555555555556,0.19047619047619047,0.0,0.0
average clustering,0.4949519689060419,0.41867579803516763,0.34784611786721825,0.2365700440842365,0.05888335081230241,0.0026088263588263574
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.0033333333333333335,0.0033112582781456954,0.0036666666666666666,0.0013333333333333333,0.0013333333333333333,0.0003333333333333333
h(1) deanonymization [2-4],0.003,0.004304635761589404,0.003,0.006666666666666667,0.004,0.0
h(1) deanonymization [5-10],0.015,0.01423841059602649,0.012333333333333333,0.01,0.005,0.005333333333333333
h(1) deanonymization [11-20],0.015,0.015231788079470199,0.022,0.008666666666666666,0.01633333333333333,0.004666666666666667
h(1) deanonymization [20-inf],0.9636666666666667,0.9629139072847682,0.959,0.9733333333333334,0.9733333333333334,0.9896666666666667
h(2) deanonymization [1],0.6473333333333333,0.708,0.7313333333333333,0.752,0.7453333333333333,0.7183333333333334
h(2) deanonymization [2-4],0.21533333333333332,0.18466666666666667,0.174,0.16233333333333333,0.186,0.22866666666666666
h(2) deanonymization [5-10],0.06933333333333333,0.06433333333333334,0.060333333333333336,0.06366666666666666,0.065,0.044
h(2) deanonymization [11-20],0.038,0.021333333333333333,0.019,0.022,0.0036666666666666666,0.009
h(2) deanonymization [20-inf],0.03,0.021666666666666667,0.015333333333333332,0.0,0.0,0.0
h(3) deanonymization [1],0.7343333333333333,0.8576666666666667,0.9493333333333334,0.984,0.9963333333333333,0.998
h(3) deanonymization [2-4],0.22533333333333333,0.13066666666666665,0.049,0.012,0.0006666666666666666,0.0
h(3) deanonymization [5-10],0.04033333333333333,0.011666666666666667,0.0016666666666666668,0.0,0.003,0.002
h(3) deanonymization [11-20],0.0,0.0,0.0,0.004,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [1],0.6963333333333334,0.85,0.9486666666666667,0.9846666666666667,0.997,0.998
h(4) deanonymization [2-4],0.24566666666666667,0.13166666666666665,0.049666666666666665,0.011333333333333334,0.0,0.0
h(4) deanonymization [5-10],0.04766666666666667,0.014666666666666666,0.0016666666666666668,0.0,0.003,0.002
h(4) deanonymization [11-20],0.010333333333333333,0.0036666666666666666,0.0,0.004,0.0,0.0
h(4) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
