,0.0,0.05,0.1,0.2,0.5,1.0
nodes,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
edges,9945.0,9945.0,9945.0,9945.0,9945.0,9945.0
components,51.0,25.0,30.0,29.0,18.0,5.0
degree_centrality,0.001333777925975325,0.001333777925975325,0.001333777925975325,0.0016672224074691564,0.0020006668889629873,0.0023341113704568187
avg_degree,6.63,6.63,6.63,6.63,6.63,6.63
transitivity,0.42562459353999565,0.3848253040526022,0.34751848908990896,0.27775121423358584,0.09164242731137463,0.0020948448600400754
clustering,0.6625,0.38301435406698564,0.3333333333333333,0.16666666666666666,0.0,0.0
average clustering,0.5769426645886979,0.4697640168781117,0.3836085672345555,0.2530816782494052,0.059412498776847504,0.0019013412513412492
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.0033112582781456954,0.003642384105960265,0.004635761589403974,0.0033333333333333335,0.0016556291390728477,0.0006666666666666666
h(1) deanonymization [2-4],0.008278145695364239,0.010264900662251655,0.010264900662251655,0.007333333333333333,0.003642384105960265,0.0036666666666666666
h(1) deanonymization [5-10],0.017880794701986755,0.012251655629139073,0.005298013245033113,0.010333333333333333,0.01423841059602649,0.0
h(1) deanonymization [11-20],0.017880794701986755,0.02847682119205298,0.030794701986754967,0.013,0.015894039735099338,0.004333333333333333
h(1) deanonymization [20-inf],0.9526490066225165,0.945364238410596,0.9490066225165563,0.966,0.964569536423841,0.9913333333333333
h(2) deanonymization [1],0.4493421052631579,0.5923841059602649,0.687748344370861,0.7697368421052632,0.8446666666666667,0.79
h(2) deanonymization [2-4],0.20328947368421052,0.21721854304635763,0.1728476821192053,0.11447368421052631,0.11133333333333334,0.19333333333333333
h(2) deanonymization [5-10],0.16019736842105264,0.076158940397351,0.06556291390728476,0.054276315789473686,0.030333333333333334,0.016666666666666666
h(2) deanonymization [11-20],0.09572368421052632,0.07947019867549669,0.051655629139072845,0.03190789473684211,0.013666666666666667,0.0
h(2) deanonymization [20-inf],0.09144736842105264,0.0347682119205298,0.02218543046357616,0.029605263157894735,0.0,0.0
h(3) deanonymization [1],0.4553333333333333,0.7116666666666667,0.8486666666666667,0.9496666666666667,0.993,0.9986666666666667
h(3) deanonymization [2-4],0.2613333333333333,0.19566666666666666,0.125,0.03333333333333333,0.0013333333333333333,0.0013333333333333333
h(3) deanonymization [5-10],0.17533333333333334,0.07866666666666666,0.017666666666666667,0.007666666666666666,0.0,0.0
h(3) deanonymization [11-20],0.068,0.014,0.0,0.0,0.005666666666666667,0.0
h(3) deanonymization [20-inf],0.04,0.0,0.008666666666666666,0.009333333333333334,0.0,0.0
h(4) deanonymization [1],0.43566666666666665,0.7123333333333334,0.85,0.9523333333333334,0.9936666666666667,0.9986666666666667
h(4) deanonymization [2-4],0.268,0.18733333333333332,0.12166666666666667,0.033,0.0006666666666666666,0.0013333333333333333
h(4) deanonymization [5-10],0.18466666666666667,0.08633333333333333,0.019666666666666666,0.005333333333333333,0.0,0.0
h(4) deanonymization [11-20],0.07133333333333333,0.014,0.0,0.0,0.005666666666666667,0.0
h(4) deanonymization [20-inf],0.04033333333333333,0.0,0.008666666666666666,0.009333333333333334,0.0,0.0
