,0.0,0.05,0.1,0.2,0.5,1.0
nodes,333.0,333.0,333.0,333.0,333.0,333.0
edges,2519.0,2519.0,2519.0,2519.0,2519.0,2519.0
components,5.0,3.0,2.0,1.0,1.0,1.0
degree_centrality,0.030120481927710843,0.030120481927710843,0.03313253012048193,0.03313253012048193,0.0391566265060241,0.045180722891566265
avg_degree,15.12912912912913,15.12912912912913,15.12912912912913,15.12912912912913,15.12912912912913,15.12912912912913
transitivity,0.4258693841944566,0.3864927649808279,0.3490475840258881,0.29124091217726844,0.12236959571483229,0.04596551270238252
clustering,0.5044326241134752,0.39971550497866287,0.34523809523809523,0.24955436720142601,0.08791208791208792,0.044444444444444446
average clustering,0.5082445417696639,0.41321691788238774,0.3470491382447051,0.25008587344261113,0.09295295877293432,0.04478487936019227
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.05405405405405406,0.05105105105105105,0.05105105105105105,0.05105105105105105,0.03003003003003003,0.0056657223796034
h(1) deanonymization [2-4],0.15615615615615616,0.12612612612612611,0.12612612612612611,0.13513513513513514,0.09309309309309309,0.028328611898016998
h(1) deanonymization [5-10],0.16516516516516516,0.2012012012012012,0.17117117117117117,0.13513513513513514,0.2222222222222222,0.042492917847025496
h(1) deanonymization [11-20],0.46846846846846846,0.3663663663663664,0.6516516516516516,0.4144144144144144,0.2732732732732733,0.32011331444759206
h(1) deanonymization [20-inf],0.15615615615615616,0.2552552552552553,0.0,0.26426426426426425,0.3813813813813814,0.603399433427762
h(2) deanonymization [1],0.8378378378378378,0.933933933933934,0.987987987987988,1.0,1.0,1.0
h(2) deanonymization [2-4],0.12612612612612611,0.06606606606606606,0.012012012012012012,0.0,0.0,0.0
h(2) deanonymization [5-10],0.036036036036036036,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [1],0.7927927927927928,0.960960960960961,0.987987987987988,1.0,1.0,1.0
h(3) deanonymization [2-4],0.13813813813813813,0.03903903903903904,0.012012012012012012,0.0,0.0,0.0
h(3) deanonymization [5-10],0.06906906906906907,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [1],0.6336336336336337,0.9579579579579579,0.987987987987988,0.924924924924925,0.44744744744744747,0.0990990990990991
h(4) deanonymization [2-4],0.21621621621621623,0.042042042042042045,0.012012012012012012,0.05405405405405406,0.07807807807807808,0.05405405405405406
h(4) deanonymization [5-10],0.11711711711711711,0.0,0.0,0.021021021021021023,0.0960960960960961,0.05405405405405406
h(4) deanonymization [11-20],0.03303303303303303,0.0,0.0,0.0,0.036036036036036036,0.09309309309309309
h(4) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.34234234234234234,0.6996996996996997
