,0.0,0.05,0.1,0.2,0.5,1.0
nodes,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
edges,61069.0,61069.0,61069.0,61069.0,61069.0,61069.0
components,4.0,3.0,3.0,1.0,1.0,1.0
degree_centrality,0.002400480096019204,0.0026005201040208044,0.0026005201040208044,0.0030006001200240046,0.003800760152030406,0.004800960192038408
avg_degree,24.4276,24.4276,24.4276,24.4276,24.4276,24.4276
transitivity,0.05513669231288602,0.05210537736592867,0.04886664873794614,0.043393505481004034,0.02412737307711961,0.004882283175107467
clustering,0.17857142857142858,0.14285714285714285,0.11509816452608215,0.0761904761904762,0.02197802197802198,0.004329004329004329
average clustering,0.2108989778711125,0.16394621184480887,0.1267039658686102,0.08358404855738497,0.02573170982361853,0.004909934978724469
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.0158,0.0148,0.014,0.0122,0.00873015873015873,0.0012
h(1) deanonymization [2-4],0.0288,0.0256,0.0282,0.0254,0.01646825396825397,0.0016
h(1) deanonymization [5-10],0.0262,0.0392,0.0288,0.0274,0.02142857142857143,0.0046
h(1) deanonymization [11-20],0.0464,0.0258,0.0306,0.044,0.03531746031746032,0.006
h(1) deanonymization [20-inf],0.8828,0.8946,0.8984,0.891,0.9180555555555555,0.9866
h(2) deanonymization [1],0.9468,0.9846,0.9956,1.0,1.0,1.0
h(2) deanonymization [2-4],0.0266,0.0144,0.0044,0.0,0.0,0.0
h(2) deanonymization [5-10],0.0194,0.001,0.0,0.0,0.0,0.0
h(2) deanonymization [11-20],0.0072,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [1],0.9772,0.996,0.9996,1.0,1.0,1.0
h(3) deanonymization [2-4],0.017,0.004,0.0004,0.0,0.0,0.0
h(3) deanonymization [5-10],0.0058,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [1],0.9202,0.9754,0.9908,0.9716,0.9358,1.0
h(4) deanonymization [2-4],0.066,0.0224,0.0092,0.0272,0.0166,0.0
h(4) deanonymization [5-10],0.0086,0.0022,0.0,0.0012,0.0122,0.0
h(4) deanonymization [11-20],0.0052,0.0,0.0,0.0,0.0106,0.0
h(4) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0248,0.0
