,0.0,0.05,0.1,0.2,0.5,1.0
nodes,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
edges,74053.0,74053.0,74053.0,74053.0,74053.0,74053.0
components,1.0,1.0,1.0,1.0,1.0,1.0
degree_centrality,0.02501250625312656,0.025512756378189092,0.026513256628314157,0.027513756878439218,0.03151575787893947,0.03701850925462731
avg_degree,74.053,74.053,74.053,74.053,74.053,74.053
transitivity,0.18014076304389257,0.1679772685220359,0.15670714277075254,0.13301465261736303,0.0716100912749171,0.036973453793427515
clustering,0.23070465825883785,0.19542371671307204,0.1675276261483158,0.12838677152651745,0.061913679329409665,0.03677221654749745
average clustering,0.25414067572025834,0.20245909673774712,0.16839175949823915,0.1274301734149393,0.06255603196399259,0.03698972228467204
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.04047619047619048,0.04065420560747664,0.03142857142857143,0.03028846153846154,0.020388349514563107,0.0035
h(1) deanonymization [2-4],0.10952380952380952,0.10327102803738318,0.10095238095238095,0.0875,0.05679611650485437,0.0055
h(1) deanonymization [5-10],0.1719047619047619,0.15700934579439252,0.18904761904761905,0.1673076923076923,0.1262135922330097,0.0355
h(1) deanonymization [11-20],0.36428571428571427,0.3336448598130841,0.28,0.23173076923076924,0.15970873786407766,0.0425
h(1) deanonymization [20-inf],0.3138095238095238,0.36542056074766355,0.3985714285714286,0.4831730769230769,0.6368932038834951,0.913
h(2) deanonymization [1],0.984,1.0,1.0,1.0,1.0,1.0
h(2) deanonymization [2-4],0.006,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [5-10],0.01,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [1],0.984,1.0,0.999,0.997,0.996,1.0
h(3) deanonymization [2-4],0.006,0.0,0.001,0.003,0.001,0.0
h(3) deanonymization [5-10],0.01,0.0,0.0,0.0,0.003,0.0
h(3) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [1],0.1075,0.073,0.0275,0.003,0.0,0.0
h(4) deanonymization [2-4],0.0635,0.018,0.015,0.002,0.0,0.0
h(4) deanonymization [5-10],0.064,0.0205,0.011,0.0,0.0,0.0
h(4) deanonymization [11-20],0.0305,0.0055,0.0,0.0,0.0,0.0
h(4) deanonymization [20-inf],0.7345,0.883,0.9465,0.995,1.0,1.0
