,0.0,0.05,0.1,0.2,0.5,1.0
nodes,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
edges,63266.0,63266.0,63266.0,63266.0,63266.0,63266.0
components,1.0,27.0,44.0,49.0,56.0,45.0
degree_centrality,0.0003000150007500375,0.0003000150007500375,0.0003000150007500375,0.0003000150007500375,0.0003000150007500375,0.0003000150007500375
avg_degree,6.3266,6.3266,6.3266,6.3266,6.3266,6.3266
transitivity,0.2839149592759486,0.24835516263039908,0.21746789773985592,0.15871503808304832,0.043026954629164574,0.0002845497000995924
clustering,0.4,0.3333333333333333,0.2857142857142857,0.17777777777777778,0.0,0.0
average clustering,0.4561702901541755,0.38507624622426445,0.32556569919016837,0.22181510296942955,0.0492124173870631,0.00027478905898023525
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.00065,0.0009,0.00065,0.00055,0.00065,0.0
h(1) deanonymization [2-4],0.0019,0.0015,0.0019,0.00095,0.00095,0.0
h(1) deanonymization [5-10],0.00415,0.00355,0.00265,0.00275,0.0019,0.0008
h(1) deanonymization [11-20],0.00235,0.00215,0.0023,0.00395,0.00125,0.0
h(1) deanonymization [20-inf],0.99095,0.9919,0.9925,0.9918,0.99525,0.9992
h(2) deanonymization [1],0.5768886679920477,0.5961538461538461,0.6017964071856288,0.6013446215139442,0.5680776892430279,0.5004975124378109
h(2) deanonymization [2-4],0.19194831013916502,0.1955044955044955,0.19151696606786428,0.19616533864541832,0.21693227091633466,0.25606965174129354
h(2) deanonymization [5-10],0.08250497017892644,0.09455544455544455,0.09630738522954092,0.10179282868525896,0.10751992031872509,0.1272139303482587
h(2) deanonymization [11-20],0.057604373757455266,0.0494005994005994,0.051746506986027944,0.053137450199203184,0.06459163346613546,0.07462686567164178
h(2) deanonymization [20-inf],0.09105367793240557,0.06438561438561438,0.058632734530938126,0.0475597609561753,0.04287848605577689,0.041592039800995025
h(3) deanonymization [1],0.80635,0.90905,0.958,0.98945,0.9963,0.9972
h(3) deanonymization [2-4],0.16415,0.08465,0.03985,0.00815,0.00105,0.0006
h(3) deanonymization [5-10],0.0282,0.00515,0.0,0.0,0.0,0.0
h(3) deanonymization [11-20],0.0013,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.00115,0.00215,0.0024,0.00265,0.0022
h(4) deanonymization [1],0.772927072927073,0.9066,0.9599,0.9905,0.99695,0.9977
h(4) deanonymization [2-4],0.18541458541458541,0.08635,0.0374,0.0071,0.0004,0.0001
h(4) deanonymization [5-10],0.038461538461538464,0.0059,0.00055,0.0,0.0,0.0
h(4) deanonymization [11-20],0.002197802197802198,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [20-inf],0.000999000999000999,0.00115,0.00215,0.0024,0.00265,0.0022
