,0.0,0.05,0.1,0.2,0.5,1.0
nodes,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
edges,128306.0,128306.0,128306.0,128306.0,128306.0,128306.0
components,125.0,145.0,165.0,181.0,49.0,3.0
degree_centrality,0.0001666722224074136,0.0001666722224074136,0.0001666722224074136,0.0002000066668888963,0.000233341111370379,0.00026667555585186174
avg_degree,8.553733333333334,8.553733333333334,8.553733333333334,8.553733333333334,8.553733333333334,8.553733333333334
transitivity,0.4396333786829655,0.4046106325276335,0.3684567747701413,0.30127394601040675,0.11520829425387304,0.0002895539321515041
clustering,0.5526315789473685,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.0,0.0
average clustering,0.5625113024991103,0.4430969570201157,0.349140718236466,0.2190085329151626,0.04526393041629855,0.00027666306603613106
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.0009333333333333333,0.0008327781479013991,0.001,0.0006,0.0004,0.0
h(1) deanonymization [2-4],0.0035666666666666668,0.0033311125916055963,0.0028666666666666667,0.0027333333333333333,0.0019,0.00013333333333333334
h(1) deanonymization [5-10],0.0035666666666666668,0.005096602265156562,0.005966666666666667,0.005733333333333333,0.004966666666666667,0.0004333333333333333
h(1) deanonymization [11-20],0.005233333333333334,0.005129913391072619,0.004066666666666666,0.0033,0.0025,0.0
h(1) deanonymization [20-inf],0.9867,0.9856095936042638,0.9861,0.9876333333333334,0.9902333333333333,0.9994333333333333
h(2) deanonymization [1],0.5333444148936171,0.6609375,0.7271124417831004,0.7847074468085107,0.8477015323117921,0.7961
h(2) deanonymization [2-4],0.18470744680851064,0.15388962765957448,0.12029274783765802,0.10079787234042553,0.09536975349766823,0.1773
h(2) deanonymization [5-10],0.10043218085106383,0.06050531914893617,0.05139720558882235,0.043018617021276594,0.03224516988674217,0.025466666666666665
h(2) deanonymization [11-20],0.04501329787234042,0.035206117021276594,0.030239520958083833,0.027393617021276597,0.01402398401065956,0.0011333333333333334
h(2) deanonymization [20-inf],0.13650265957446808,0.08946143617021277,0.07095808383233533,0.04408244680851064,0.010659560293137908,0.0
h(3) deanonymization [1],0.5675531914893617,0.8048,0.9149666666666667,0.9764,0.9983333333333333,0.9999333333333333
h(3) deanonymization [2-4],0.22779255319148936,0.15223333333333333,0.07086666666666666,0.0171,6.666666666666667e-05,6.666666666666667e-05
h(3) deanonymization [5-10],0.12752659574468084,0.035366666666666664,0.008166666666666666,0.0005666666666666667,0.0,0.0
h(3) deanonymization [11-20],0.053690159574468085,0.0034,0.0009,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0234375,0.0042,0.0051,0.005933333333333333,0.0016,0.0
h(4) deanonymization [1],0.5609966777408638,0.8072333333333334,0.9171,0.9779,0.9983333333333333,0.9999333333333333
h(4) deanonymization [2-4],0.23102990033222592,0.15013333333333334,0.06906666666666667,0.0156,6.666666666666667e-05,6.666666666666667e-05
h(4) deanonymization [5-10],0.1292358803986711,0.0355,0.007833333333333333,0.0005666666666666667,0.0,0.0
h(4) deanonymization [11-20],0.05385382059800665,0.0029333333333333334,0.0009,0.0,0.0,0.0
h(4) deanonymization [20-inf],0.02488372093023256,0.0042,0.0051,0.005933333333333333,0.0016,0.0
