,0,0.05,0.1,0.2,0.5,1
nodes,4039,4039,4039,4039,4039,4039
edges,88234,88234,88234,88234,88234,88234
components,1,1,1,1,1,1
degree_centrality,0.006191184,0.006438831,0.006686478,0.007181773,0.008915305,0.010896483407627538
avg_degree,43.69101262688784,43.69101262688784,43.69101262688784,43.69101262688784,43.69101262688784,43.69101262688784
transitivity,0.5191742775433075,0.474313913,0.42794933562965304,0.3415757022837324,0.12271439044201307,0.01088068
eccentricity,6,5,4,4,3,3
clustering,0.6,0.4444444444444444,0.3463203463203463,0.21369102682701202,0.045045045,0.010628019323671498
h(0) deanonymization [1],0,0,0,0,0,0
h(0) deanonymization [2-4],0,0,0,0,0,0
h(0) deanonymization [5-10],0,0,0,0,0,0
h(0) deanonymization [11-20],0,0,0,0,0,0
h(0) deanonymization [20-inf],1,1,1,1,1,1
h(1) deanonymization [1],0.007354744,0.005148321,0.007318858,0.005420054,0.002956393,0.000985464
h(1) deanonymization [2-4],0.043392988477568034,0.039960774699681297,0.032934862161502806,0.027100271,0.012318305,0.002217295
h(1) deanonymization [5-10],0.1000245158126992,0.096101986,0.089777995,0.093372752,0.06380882,0.00566642
h(1) deanonymization [11-20],0.10639862711448884,0.12380485413091444,0.10173212978775312,0.088938162,0.074156196,0.021187485
h(1) deanonymization [20-inf],0.7428291247854867,0.7349840647217455,0.768236155,0.7851687607785168,0.846760286,0.9699433357969943
h(2) deanonymization [1],0.9319138400594207,0.9995048279277049,1,1,1,1
h(2) deanonymization [2-4],0.044813073,0.000495172,0,0,0,0
h(2) deanonymization [5-10],0.013864818,0,0,0,0,0
h(2) deanonymization [11-20],0.009408269,0,0,0,0,0
h(2) deanonymization [20-inf],0,0,0,0,0,0
h(3) deanonymization [1],0.09854644,0.9995048279277049,0.9995048279277049,1,1,1
h(3) deanonymization [2-4],0.039911308,0.000495172,0.000495172,0,0,0
h(3) deanonymization [5-10],0.042867701,0,0,0,0,0
h(3) deanonymization [11-20],0.058388765705838876,0,0,0,0,0
h(3) deanonymization [20-inf],0.7602857846760286,0,0,0,0,0
h(4) deanonymization [1],0.004456549,0.9990096558554098,0.9990096558554098,0.9584055459272097,0.20549641000247587,0.000742758
h(4) deanonymization [2-4],0.011141371626640258,0.000990344,0.000990344,0.020054468927952464,0.052735825699430555,0.001485516
h(4) deanonymization [5-10],0.023273087,0,0,0.008913097,0.019064124783362217,0
h(4) deanonymization [11-20],0.009408269,0,0,0.003961377,0.009655855,0
h(4) deanonymization [20-inf],0.9517207229512256,0,0,0.008665511,0.7130477841049765,0.997771726
