,0.0,0.05,0.1,0.2,0.5,1.0
nodes,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
edges,259092.0,259092.0,259092.0,259092.0,259092.0,259092.0
components,1.0,32.0,6.0,1.0,1.0,1.0
degree_centrality,0.0006000400026668444,0.0006667111140742716,0.000800053336889126,0.0010000666711114073,0.0015334355623708247,0.0022668177878525236
avg_degree,34.5456,34.5456,34.5456,34.5456,34.5456,34.5456
transitivity,0.08609272934886489,0.08059777334797925,0.07508023550492555,0.06404132347093199,0.0309414142012181,0.0023126672494141244
clustering,0.12074220094496073,0.09523809523809523,0.07211739241151005,0.04395604395604396,0.009230769230769232,0.0020161290322580645
average clustering,0.1885620774792725,0.12344021926833332,0.08863970598746952,0.0543550978432871,0.015689928571060732,0.0023110795263667555
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.009350132625994694,0.008655126498002663,0.007992073976221929,0.007646276595744681,0.004442970822281167,6.666666666666667e-05
h(1) deanonymization [2-4],0.019761273209549072,0.01870838881491345,0.017437252311756937,0.018284574468085107,0.011538461538461539,0.0004
h(1) deanonymization [5-10],0.029376657824933688,0.029494007989347537,0.031571994715984146,0.02327127659574468,0.021352785145888595,0.0022
h(1) deanonymization [11-20],0.05092838196286472,0.044274300932090546,0.0404887714663144,0.039162234042553194,0.02639257294429708,0.002
h(1) deanonymization [20-inf],0.8905835543766578,0.8988681757656458,0.9025099075297226,0.9116356382978723,0.9362732095490717,0.9953333333333333
h(2) deanonymization [1],0.8142098273572377,0.9550666666666666,0.9920666666666667,0.9997333333333334,1.0,1.0
h(2) deanonymization [2-4],0.034661354581673305,0.024266666666666666,0.0058,0.0002666666666666667,0.0,0.0
h(2) deanonymization [5-10],0.04893758300132802,0.008933333333333333,0.001,0.0,0.0,0.0
h(2) deanonymization [11-20],0.02158034528552457,0.004533333333333334,0.0011333333333333334,0.0,0.0,0.0
h(2) deanonymization [20-inf],0.08061088977423639,0.0072,0.0,0.0,0.0,0.0
h(3) deanonymization [1],0.838681757656458,0.9779333333333333,0.9975333333333334,1.0,1.0,1.0
h(3) deanonymization [2-4],0.04687083888149134,0.008,0.0009333333333333333,0.0,0.0,0.0
h(3) deanonymization [5-10],0.028761651131824235,0.004,0.0003333333333333333,0.0,0.0,0.0
h(3) deanonymization [11-20],0.014513981358189081,0.0028,0.0012,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.07117177097203728,0.007266666666666667,0.0,0.0,0.0,0.0
h(4) deanonymization [1],0.8288282290279627,0.9751664447403462,0.9966666666666667,0.9977333333333334,0.9735333333333334,1.0
h(4) deanonymization [2-4],0.05572569906790945,0.008521970705725699,0.0018,0.0019333333333333333,0.004866666666666667,0.0
h(4) deanonymization [5-10],0.0296271637816245,0.004860186418109188,0.0003333333333333333,0.0003333333333333333,0.004,0.0
h(4) deanonymization [11-20],0.014513981358189081,0.002862849533954727,0.0012,0.0,0.0,0.0
h(4) deanonymization [20-inf],0.07130492676431424,0.008588548601864181,0.0,0.0,0.0176,0.0
